layout,noise,n,vertices_count,total,bounded,unbounded,degenerate,failures,failure_rate,source_outside_count,median_vertices,mean_circularity,median_circularity,median_ratio,p95_ratio,max_ratio,failure_over_1pct,polygon_inside_arena_count
uniform_area,truncnorm,8,10,6,6,0,0,1,0.16666666666666666,0,10.0,0.7706719045618825,0.7545352162025829,1.0,1.0573473179052435,1.0764630905403245,0.16666666666666666,6
uniform_area,truncnorm,12,3,11,11,0,0,9,0.8181818181818182,0,3.0,0.5352991311162576,0.5792118789613271,1.0338040374446829,1.0886659285184557,1.0985282566115386,0.5454545454545454,11
uniform_area,truncnorm,12,4,455,455,0,0,127,0.27912087912087913,0,4.0,0.5923476061161005,0.6117455683768946,1.0,1.0258025295315403,1.0966222581911849,0.10329670329670329,448
uniform_area,truncnorm,12,5,740,740,0,0,289,0.39054054054054055,0,5.0,0.6510897707295489,0.6800613648428371,1.0000000000000002,1.0292399797673966,1.106068649773218,0.13648648648648648,733
uniform_area,truncnorm,12,6,741,741,0,0,312,0.42105263157894735,0,6.0,0.6998919531503108,0.7216266286716069,1.0000000000000002,1.0315570784931007,1.0764900935838384,0.15654520917678813,735
uniform_area,truncnorm,12,7,365,365,0,0,164,0.44931506849315067,0,7.0,0.7410025289487888,0.7644563648817828,1.0000000000000002,1.0238228282720745,1.113060054450503,0.13424657534246576,362
uniform_area,truncnorm,12,8,141,141,0,0,60,0.425531914893617,0,8.0,0.7506552117825643,0.7744880361746089,1.0000000000000002,1.012161819128527,1.0421759351347561,0.10638297872340426,141
uniform_area,truncnorm,12,9,38,38,0,0,10,0.2631578947368421,0,9.0,0.7618902274473067,0.7947665839916506,1.0,1.0260895690460023,1.041703425138852,0.10526315789473684,37
uniform_area,truncnorm,12,10,8,8,0,0,3,0.375,0,10.0,0.8001244690707625,0.8104981502204855,1.0,1.013600278066194,1.0197953045846202,0.125,8
uniform_area,truncnorm,12,12,1,1,0,0,1,1.0,0,12.0,0.741401239904638,0.741401239904638,1.0015677417136712,1.0015677417136712,1.0015677417136712,0.0,1
uniform_area,truncnorm,20,3,11,11,0,0,8,0.7272727272727273,0,3.0,0.4715495237710284,0.5078805950663106,1.0100064911980997,1.0454771019116467,1.0494608661110105,0.5454545454545454,11
uniform_area,truncnorm,20,4,419,419,0,0,139,0.3317422434367542,0,4.0,0.6044893830711843,0.6240540600511907,1.0,1.0378362840387714,1.1127750390693598,0.15990453460620524,416
uniform_area,truncnorm,20,5,692,692,0,0,292,0.42196531791907516,0,5.0,0.6668586235281251,0.6879392167980736,1.0000000000000002,1.0298355153787075,1.1095053466593456,0.15606936416184972,683
uniform_area,truncnorm,20,6,728,728,0,0,320,0.43956043956043955,1,6.0,0.699382967510386,0.7210925387389958,1.0000000000000002,1.027598353490215,1.096367396717224,0.14285714285714285,722
uniform_area,truncnorm,20,7,415,415,0,0,182,0.43855421686746987,1,7.0,0.7387093888852054,0.7613469643654178,1.0000000000000002,1.025504200443148,1.0870976511367594,0.13493975903614458,413
uniform_area,truncnorm,20,8,163,163,0,0,89,0.5460122699386503,0,8.0,0.7682294617893375,0.7954037819068945,1.0000941644363435,1.0269096134777096,1.0774838435917093,0.17791411042944785,163
uniform_area,truncnorm,20,9,62,62,0,0,32,0.5161290322580645,0,9.0,0.8163660328717169,0.8322020163558315,1.0000699001840907,1.0326099360214054,1.049938796077862,0.16129032258064516,62
uniform_area,truncnorm,20,10,9,9,0,0,5,0.5555555555555556,0,10.0,0.8150714381463412,0.8638191338837441,1.0010680823222375,1.0141220798176518,1.0142926664834773,0.3333333333333333,9
uniform_area,truncnorm,20,11,1,1,0,0,0,0.0,0,11.0,0.8191251290759671,0.8191251290759671,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,1
